,Name,EV,BC
0,King,0.310495915497257,0.04867583396995162
1,Westmorland,0.153353083449317,0.0
2,Falstaff,0.35952998867150393,0.1830404889228418
3,Prince,0.42060160105125677,0.3959129106187931
4,Poins,0.15167921726082517,0.0029708853238265
5,Worcester,0.2648203148369441,0.05461336049571343
6,Northumberland,0.12873795585234415,0.0
7,Hotspur,0.34025489624050026,0.3566972243442831
8,Blunt,0.1606444526312756,0.0
9,1Carrier,0.031666919558004485,0.0552584670231729
10,Ostler,0.00445293320406302,0.0
11,2Carrier,0.03111792234995371,0.0
12,Gadshill,0.1896347665907405,0.2107843137254902
13,Chamberlain,0.02666498914593124,0.0
14,Bardolph,0.2181209352406233,0.011734997029114675
15,Peto,0.20549659848748975,0.007575757575757575
16,1Traveler,0.13678407540640622,0.0017825311942959
17,2Traveler,0.13678407540640622,0.0017825311942959
18,LadyPercy,0.047843110997548975,0.0
19,Servant,0.047843110997548975,0.0
20,Francis,0.08046834649305053,0.0
21,Vintner,0.05914073253876224,0.0
22,Hostess,0.14036462462735363,0.0
23,Sheriff,0.06881702641680776,0.0
24,3Carrier,0.06881702641680776,0.0
25,Mortimer,0.09365826184511213,0.00089126559714795
26,Glendower,0.06101236894181176,0.0
27,Douglas,0.2269160607038087,0.014090484678719975
28,1Messenger,0.08507931439315834,0.0
29,Vernon,0.11698581117208981,0.0
30,Archbishop,6.643325333751816e-10,0.0
31,SirMichael,6.643325333751816e-10,0.0
32,2Messenger,0.047843110997548975,0.0
33,3Messenger,0.047843110997548975,0.0
34,Lancaster,0.153353083449317,0.0
